Nr;Addresse;Gebaeudebezeichnung;Plz;Nettoflaeche;Denkmal;Prio;Einsparen;Kosten
30461002;Alt-Moabit 12a;Haus 02;10559;20857;ja ;1;20-30%;4969183
30461003;Alt-Moabit 12a;Haus 03;10559;10995;nein ;2;40-50%;5093146
30461001;Alt-Moabit 12a;Haus 01;10559;4913;nein ;3;50-60%;3526947
30461004;Alt-Moabit 12a;Haus 04;10559;5546;ja ;4;10-20%;1119666
30461005;Alt-Moabit 12a;Haus 05;10559;2905;ja ;5;20-30%;1172983
30463001;Pfalzburger Str. 22,23;Haus 01;10719;8854;nein ;6;> 60%;5651646
30510001;Kniprodestr. 31;Haus 03;10407;8040;nein ;7;40-50%;4731920
30461015;Alt-Moabit 12a;Haus 15;10559;429;nein ;8;> 60%;1083676
30461006;Alt-Moabit 12a;Haus 06;10559;2139;nein ;9;> 60%;1184980
30461007;Alt-Moabit 12a;Haus 07;10559;1596;nein ;10;40-50%;901064
30464001;Pfalzburger Str. 30;Haus 01;10719;5349;nein ;11;> 60%;3410982
30461009;Alt-Moabit 12a;Haus 09;10559;2167;ja ;12;50-60%;869074
30462025;Seidelstr. 39;18.1-4;13507;12110;ja ;13;40-50%;6438078
30462030;Seidelstr. 39;21.1-2;13507;5805;nein ;14;> 60%;3569601
30464003;Pfalzburger Str. 30;Haus 03;10719;1917;nein ;15;30-40%;1390252
30462026;Seidelstr. 39;19;13507;2320;ja ;16;50-60%;1330269
30462032;Seidelstr. 39;23;13507;1558;nein ;17;> 60%;729116
30462037;Seidelstr. 39;26;13507;561;ja ;18;20-30%;155953
30462013;Seidelstr. 39;04.6-8;13507;2252;nein ;19;40-50%;2112703
30462015;Seidelstr. 39;06.1-3;13507;6834;nein ;20;30-40%;4008137
30462011;Seidelstr. 39;04.1-4;13507;7765;nein ;21;40-50%;5381060
30472009;Fröbelstr. 17;Heizhaus ;10405;533;ja ;22;40-50%;215936
30462014;Seidelstr. 39;05.1-3;13507;6404;nein ;23;30-40%;4571968
30462012;Seidelstr. 39;04.5,9;13507;643;nein ;24;40-50%;919725
30462020;Seidelstr. 39;14.0-1;13507;1681;ja ;25;40-50%;1207639
30462004;Seidelstr. 39;2.6;13507;1327;ja ;26;20-30%;307908
30462006;Seidelstr. 39;3.6;13507;2770;ja ;27;30-40%;1415577
30462018;Seidelstr. 39;12.1-3;13507;2704;ja ;28;40-50%;1603521
30462001;Seidelstr. 39;00.1-4;13507;1421;ja ;29;40-50%;555834
30459001;Niedstr. 1,2;Haus 01;12159;12897;ja ;30;20-30%;3037760
30472007;Fröbelstr. 17;Haus 08;10405;342;ja ;31;40-50%;193276
30462090;Seidelstr. 39;33-34.0;13507;1476;ja ;32;30-40%;619815
30466001;Munsterdamm 90;Haus 01;12169;2283;ja ;33;> 60%;1648841
30462022;Seidelstr. 39;15.4-5;13507;1264;ja ;34;30-40%;862409
30462024;Seidelstr. 39;16;13507;899;ja ;35;30-40%;245260
30462021;Seidelstr. 39;15.1-3,15.7,15.9;13507;2569;ja ;36;20-30%;2050055
30462005;Seidelstr. 39;03.1-5;13507;6898;ja ;37;20-30%;4305381
30462003;Seidelstr. 39;02.1-5;13507;7419;ja ;38;20-30%;4525315
30462094;Seidelstr. 39;40-41.0;13507;1220;ja ;39;30-40%;510514
30462028;Seidelstr. 39;20;13507;1775;ja ;40;30-40%;1022361
30462092;Seidelstr. 39;37;13507;888;ja ;41;30-40%;369223
30462039;Seidelstr. 39;28;13507;877;nein ;42;50-60%;702457
30462019;Seidelstr. 39;13;13507;1090;ja ;43;30-40%;807759
30462093;Seidelstr. 39;38;13507;787;ja ;44;30-40%;337233
30466002;Munsterdamm 90;Haus 02;12169;591;ja ;45;> 60%;542505
30039006;Fehrbelliner Platz;Haus 06;10707;37001;ja ;46;30-40%;11608534
30462098;Seidelstr. 39;44;13507;1210;ja ;47;30-40%;461196
30472005;Fröbelstr. 17;Haus 06;10405;11467;ja ;48;40-50%;4467999
30462016;Seidelstr. 39;11.0-1;13507;1279;ja ;49;20-30%;643808
30462097;Seidelstr. 39;43;13507;880;ja ;50;30-40%;365224
30462096;Seidelstr. 39;42;13507;866;ja ;51;30-40%;361225
30472006;Fröbelstr. 17;Haus 07;10405;3561;ja ;52;30-40%;1458231
30472002;Fröbelstr. 17;Haus 03;10405;5086;ja ;53;30-40%;2000736
30472001;Fröbelstr. 17;Haus 02;10405;5561;ja ;54;30-40%;2143360
30462033;Seidelstr. 39;24;13507;267;ja ;55;50-60%;117298
30465001;Luxemburger Str. 20;Haus 01;13353;3986;ja ;56;20-30%;1668835
30462023;Seidelstr. 39;15.6 und 15.8;13507;296;ja ;57;20-30%;337233
30472008;Fröbelstr. 17;Haus 09;10405;2920;ja ;58;30-40%;1348931
30472004;Fröbelstr. 17;Haus 05;10405;3601;ja ;59;30-40%;1515547
30452001;Levetzowstr. 3,5;Haus 01;10555;8337;ja ;60;50-60%;4290719
30337001;Alte Jakobstr. 128;Berlinische Galerie ;10969;12227;nein ;61;40-50%;9342544
30462036;Seidelstr. 39;25;13507;341;ja ;62;20-30%;359893
30467001;Zum Heckeshorn 30;Haus A ;14109;8968;nein ;63;30-40%;4506654
30470004;Eschenallee 3;Haus 03;14050;11359;nein ;64;20-30%;4077449
30469003;Kladower Damm 333;Bürohaus ;14089;572;nein ;65;> 60%;395882
30469001;Kladower Damm 333;Bettenhaus ;14089;614;nein ;66;50-60%;457197
30469002;Kladower Damm 333;Haupthaus ;14089;1149;nein ;67;40-50%;681130
30462027;Seidelstr. 39;19.1;13507;251;ja ;68;50-60%;263921
