Sanierungsfahrplan SILB gemäß Berliner Klimaschutz- und Energiewendegesetz (EWG Bln);;;;;;;;5/4/22
;;;;;;;;
"Gebäude
Nr.";Adresse;"Gebäude-
bezeichnung";PLZ;"Netto-
raum-
fläche m²";Denkmal-schutz;"Priorisierung
für weitere Sanierungs-
planungen";Einspar-potenzial Endenergie;"Grobkosten-schätzung
EURO
brutto"
30461002;Alt-Moabit 12a ;Haus 02;10559;20.857;ja;1;20-30%;4.969.183
30461003;Alt-Moabit 12a ;Haus 03;10559;10.995;nein;2;40-50%;5.093.146
30461001;Alt-Moabit 12a ;Haus 01;10559;4.913;nein;3;50-60%;3.526.947
30461004;Alt-Moabit 12a ;Haus 04;10559;5.546;ja;4;10-20%;1.119.666
30461005;Alt-Moabit 12a ;Haus 05;10559;2.905;ja;5;20-30%;1.172.983
30463001;Pfalzburger Str. 22,23;Haus 01 ;10719;8.854;nein;6;> 60%;5.651.646
30510001;Kniprodestr. 31;Haus 03 ;10407;8.040;nein;7;40-50%;4.731.920
30461015;Alt-Moabit 12a ;Haus 15;10559;429;nein;8;> 60%;1.083.676
30461006;Alt-Moabit 12a ;Haus 06;10559;2.139;nein;9;> 60%;1.184.980
30461007;Alt-Moabit 12a ;Haus 07;10559;1.596;nein;10;40-50%;901.064
30464001;Pfalzburger Str. 30;Haus 01 ;10719;5.349;nein;11;> 60%;3.410.982
30461009;Alt-Moabit 12a ;Haus 09;10559;2.167;ja;12;50-60%;869.074
30462025;Seidelstr. 39 ;18.1-4;13507;12.110;ja;13;40-50%;6.438.078
30462030;Seidelstr. 39 ;21.1-2;13507;5.805;nein;14;> 60%;3.569.601
30464003;Pfalzburger Str. 30;Haus 03 ;10719;1.917;nein;15;30-40%;1.390.252
30462026;Seidelstr. 39 ;19.0;13507;2.320;ja;16;50-60%;1.330.269
30462032;Seidelstr. 39 ;23.0;13507;1.558;nein;17;> 60%;729.116
30462037;Seidelstr. 39 ;26.0;13507;561;ja;18;20-30%;155.953
30462013;Seidelstr. 39 ;04.6-8;13507;2.252;nein;19;40-50%;2.112.703
30462015;Seidelstr. 39 ;06.1-3;13507;6.834;nein;20;30-40%;4.008.137
30462011;Seidelstr. 39 ;04.1-4;13507;7.765;nein;21;40-50%;5.381.060
30472009;Fröbelstr. 17;Heizhaus ;10405;533;ja;22;40-50%;215.936
30462014;Seidelstr. 39 ;05.1-3;13507;6.404;nein;23;30-40%;4.571.968
30462012;Seidelstr. 39 ;04.5,9;13507;643;nein;24;40-50%;919.725
30462020;Seidelstr. 39 ;14.0-1;13507;1.681;ja;25;40-50%;1.207.639
30462004;Seidelstr. 39 ;02.6;13507;1.327;ja;26;20-30%;307.908
30462006;Seidelstr. 39 ;03.6;13507;2.770;ja;27;30-40%;1.415.577
30462018;Seidelstr. 39 ;12.1-3;13507;2.704;ja;28;40-50%;1.603.521
30462001;Seidelstr. 39 ;00.1-4;13507;1.421;ja;29;40-50%;555.834
30459001;Niedstr. 1,2;Haus 01 ;12159;12.897;ja;30;20-30%;3.037.760
30472007;Fröbelstr. 17;Haus 08 ;10405;342;ja;31;40-50%;193.276
30462090;Seidelstr. 39 ;33-34.0;13507;1.476;ja;32;30-40%;619.815
30466001;Munsterdamm 90 ;Haus 01 ;12169;2.283;ja;33;> 60%;1.648.841
30462022;Seidelstr. 39 ;15.4-5;13507;1.264;ja;34;30-40%;862.409
30462024;Seidelstr. 39 ;16.0;13507;899;ja;35;30-40%;245.260
30462021;Seidelstr. 39 ;15.1-3,15.7,15.9;13507;2.569;ja;36;20-30%;2.050.055
30462005;Seidelstr. 39 ;03.1-5;13507;6.898;ja;37;20-30%;4.305.381
30462003;Seidelstr. 39 ;02.1-5;13507;7.419;ja;38;20-30%;4.525.315
30462094;Seidelstr. 39 ;40-41.0;13507;1.220;ja;39;30-40%;510.514
30462028;Seidelstr. 39 ;20.0;13507;1.775;ja;40;30-40%;1.022.361
30462092;Seidelstr. 39 ;37.0;13507;888;ja;41;30-40%;369.223
30462039;Seidelstr. 39 ;28.0;13507;877;nein;42;50-60%;702.457
30462019;Seidelstr. 39 ;13.0;13507;1.090;ja;43;30-40%;807.759
30462093;Seidelstr. 39 ;38.0;13507;787;ja;44;30-40%;337.233
30466002;Munsterdamm 90 ;Haus 02 ;12169;591;ja;45;> 60%;542.505
30039006;Fehrbelliner Platz;Haus 06 ;10707;37.001;ja;46;30-40%;11.608.534
30462098;Seidelstr. 39 ;44.0;13507;1.210;ja;47;30-40%;461.196
30472005;Fröbelstr. 17;Haus 06 ;10405;11.467;ja;48;40-50%;4.467.999
30462016;Seidelstr. 39 ;11.0-1;13507;1.279;ja;49;20-30%;643.808
30462097;Seidelstr. 39 ;43.0;13507;880;ja;50;30-40%;365.224
30462096;Seidelstr. 39 ;42.0;13507;866;ja;51;30-40%;361.225
30472006;Fröbelstr. 17;Haus 07 ;10405;3.561;ja;52;30-40%;1.458.231
30472002;Fröbelstr. 17;Haus 03 ;10405;5.086;ja;53;30-40%;2.000.736
30472001;Fröbelstr. 17;Haus 02 ;10405;5.561;ja;54;30-40%;2.143.360
30462033;Seidelstr. 39 ;24.0;13507;267;ja;55;50-60%;117.298
30465001;Luxemburger Str. 20 ;Haus 01 ;13353;3.986;ja;56;20-30%;1.668.835
30462023;Seidelstr. 39 ;15.6 und 15.8;13507;296;ja;57;20-30%;337.233
30472008;Fröbelstr. 17;Haus 09 ;10405;2.920;ja;58;30-40%;1.348.931
30472004;Fröbelstr. 17;Haus 05 ;10405;3.601;ja;59;30-40%;1.515.547
30452001;Levetzowstr. 3,5;Haus 01 ;10555;8.337;ja;60;50-60%;4.290.719
