lfd.;Wirtschaftseinheit;Typ;Art der Wärmeversorgung;Wärmeverbrauch;Wärmeverbrauch Witterung;Stromverbrauch;gc_xwert;gc_ywert;gc_ortsteil
1;Dominicusstr. 12;Allgemeiner Bestand;Gas;406.361;453.380;0;13.34604;52.48304;Schöneberg
2;Albrecht-Achilles-Str. 61 - 64;Allgemeiner Bestand;Fernwärme;638.433;712.304;187.284;13.30388;52.49768;Wilmersdorf
3;Alt-Friedrichsfelde 60;Allgemeiner Bestand;Fernwärme;6.193.990;6.910.676;2.945.322;13.52556;52.50937;Friedrichsfelde
4;Am Köllnischen Park 3 / Rungestraße 29;Allgemeiner Bestand;Fernwärme;1.234.900;1.377.786;365.837;13.41572;52.51323;Mitte
5;An der Urania 4-10;Allgemeiner Bestand;Fernwärme;880.772;982.683;97.127;13.34874;52.50282;Schöneberg
6;Auf dem Grat 2 (ehem. Clayallee 138);Allgemeiner Bestand;Gas;406.361;453.380;132.782;13.27375;52.4554;Dahlem
7;Belziger Str. 52-58;Allgemeiner Bestand;Gas;53.508;59.699;228.203;13.34853;52.48602;Schöneberg
8;Bismarckstr. 48;Allgemeiner Bestand;Fernwärme;1.375.752;1.534.936;343.686;13.30363;52.51165;Charlottenburg
9;Bredtschneiderstr. 5;Allgemeiner Bestand;Fernwärme;739.100;824.619;227.817;13.28079;52.50886;Westend
10;Brodauer Str. 16-22;Allgemeiner Bestand;Gas;102.636;114.512;20.000;13.58356;52.50918;Kaulsdorf
11;Brunnenstr. 188-190;Allgemeiner Bestand;Gas;1.713.553;1.911.822;402.624;13.40006;52.53085;Mitte
12;Bundesallee 171;Allgemeiner Bestand;Fernwärme;3.326.032;3.710.876;1.878.069;13.33149;52.48486;Wilmersdorf
13;Buschkrugallee 95;Allgemeiner Bestand;Gas;502.685;560.849;118.097;13.4507;52.4555;Britz
14;Eichborndamm 208;Allgemeiner Bestand;Fernwärme;827.950;923.749;341.753;13.32487;52.58719;Wittenau
15;Fehrbelliner Platz;Allgemeiner Bestand;Fernwärme;10.022.070;11.181.690;1.439.240;;;Wilmersdorf
16;Ferdinand-Schultze-Str. 55;Allgemeiner Bestand;Fernwärme;560.784;625.670;191.512;13.51049;52.53981;Alt-Hohenschönhausen
17;Friedrich-Krause-Ufer 24,25;Allgemeiner Bestand;Gas;1.650.607;1.841.593;487.552;13.35483;52.53796;Tiergarten
18;Friedrichstr. 219;Allgemeiner Bestand;Fernwärme;1.468.400;1.638.304;578.137;13.39056;52.50501;Kreuzberg
19;Fröbelstr. 15;Allgemeiner Bestand;n/a;2.276.026;2.539.377;0;13.42896;52.53986;Prenzlauer Berg
20;Fröbelstr. 17;Allgemeiner Bestand;Fernwärme;3.875.519;4.323.942;974.381;13.42734;52.5405;Prenzlauer Berg
21;Hanna-Renate-Laurien-Platz 1;Allgemeiner Bestand;Gas;546.875;610.152;186.863;13.34354;52.43851;Lankwitz
22;Hartmannsweilerweg 63;Allgemeiner Bestand;Gas;302.613;337.627;183.416;13.24769;52.44467;Zehlendorf
23;Havelchaussee 149-151;Allgemeiner Bestand;Gas;106.734;119.084;46.900;13.21555;52.50974;Westend
24;Invalidenstr. 60;Allgemeiner Bestand;Fernwärme;3.499.834;3.904.788;1.288.944;13.3648;52.52477;Moabit
25;Josef-Orlopp-Str. 62;Allgemeiner Bestand;Gas;590.858;659.224;122.694;13.49146;52.52289;Lichtenberg
26;Jüdenstr. 1;Allgemeiner Bestand;Fernwärme;1.950.560;2.176.253;966.629;13.40907;52.51853;Mitte
27;Juliusstr. 67;Allgemeiner Bestand;Gas;305.838;341.225;169.447;13.44232;52.46393;Neukölln
28;Karl-Hofer-Str. 31;Allgemeiner Bestand;n/a;1.995.928;2.226.870;2.908.133;13.23718;52.43868;Zehlendorf
29;Klosterstr. 47;Allgemeiner Bestand;Fernwärme;2.628.360;2.932.479;1.084.931;13.41219;52.51655;Mitte
30;Klosterstr. 59;Allgemeiner Bestand;Fernwärme;1.363.640;1.521.422;1.478.425;13.41247;52.51533;Mitte
31;Klosterstr. 71;Allgemeiner Bestand;Fernwärme;621.031;692.888;162.348;13.41235;52.5179;Mitte
32;Kniprodestr. 31;Allgemeiner Bestand;Fernwärme;0;0;365.697;13.44714;52.53435;Prenzlauer Berg
33;Levetzowstr. 1-2;Allgemeiner Bestand;Gas;406.806;453.876;102.019;13.33061;52.52229;Moabit
34;Magdalenenstr. 25;Allgemeiner Bestand;Fernwärme;1.607.040;1.792.985;302.813;13.48867;52.51487;Lichtenberg
35;Martin-Buber-Str. 20,21;Allgemeiner Bestand;Gas;958.046;1.068.898;237.198;13.25658;52.43419;Zehlendorf
36;Martin-Luther-Str. 105;Allgemeiner Bestand;Fernwärme;1.416.234;1.580.102;625.474;13.34536;52.48327;Schöneberg
37;Max-Brunnow-Str. 4;Allgemeiner Bestand;Fernwärme;383.883;428.301;68.313;13.45988;52.52621;Lichtenberg
38;Mehringdamm 110;Allgemeiner Bestand;Gas;777.122;867.040;187.079;13.38555;52.48735;Kreuzberg
39;Mehringdamm 22;Allgemeiner Bestand;Gas;617.691;689.162;234.670;13.38861;52.49475;Kreuzberg
40;Mohriner Allee 137;Allgemeiner Bestand;Gas;1.252.952;1.397.927;352.164;13.41438;52.43902;Britz
41;Munsterdamm 90 / Planetarium und Sternwarte;Allgemeiner Bestand;Gas;139.231;155.340;112.694;13.34918;52.45769;Steglitz
42;Nonnendammallee 21;Allgemeiner Bestand;Fernwärme;1.042.600;1.163.236;352.821;13.23837;52.53872;Haselhorst
43;Oranienstr. 106;Allgemeiner Bestand;Fernwärme;1.546.730;1.725.697;653.106;13.40053;52.50628;Kreuzberg
44;Osloer Str. 37;Allgemeiner Bestand;Gas;944.230;1.053.484;202.112;13.3741;52.55707;Gesundbrunnen
45;Otto-Braun-Str. 70-72 (Haus d. Statistik);Allgemeiner Bestand;n/a;69.137;77.137;17.151;13.41864;52.52314;Mitte
46;Parochialstr. 1-3;Allgemeiner Bestand;Fernwärme;746.847;833.262;124.021;13.41069;52.51716;Mitte
47;Potsdamer Str. 140;Allgemeiner Bestand;Fernwärme;513.315;572.709;198.235;13.36189;52.4982;Schöneberg
48;Potsdamer Str. 186;Allgemeiner Bestand;Heizöl;877.076;978.560;104.246;13.36065;52.4929;Schöneberg
49;Potsdamer Str. 61-65;Allgemeiner Bestand;Fernwärme;1.191.852;1.329.757;85.919;13.36707;52.50411;Tiergarten
50;Rubensstr. 111;Allgemeiner Bestand;Fernwärme;434.942;485.268;258.388;13.34484;52.46447;Schöneberg
51;Salzburger Str. 21-25;Allgemeiner Bestand;Fernwärme;1.427.600;1.592.783;397.740;13.34327;52.48577;Schöneberg
52;Sarrazinstr. 4;Allgemeiner Bestand;Gas;549.426;612.998;121.214;13.33176;52.47533;Friedenau
53;Schloßstr. 58,59;Allgemeiner Bestand;Gas;566.513;632.062;110.809;13.31297;52.45322;Steglitz
54;Seelenbinderstr. 99;Allgemeiner Bestand;Gas;1.148.387;1.281.263;215.267;13.58868;52.45565;Köpenick
55;Storkower Str. 134;Allgemeiner Bestand;Fernwärme;1.271.475;1.418.593;540.824;13.45231;52.53267;Prenzlauer Berg
56;Storkower Str. 97;Allgemeiner Bestand;Fernwärme;438.919;489.705;163.048;13.45077;52.53684;Prenzlauer Berg
57;Straßburger Str. 56;Allgemeiner Bestand;Heizöl;703.318;784.697;218.999;13.41269;52.52921;Prenzlauer Berg
58;Tempelhofer Damm 234;Allgemeiner Bestand;Gas;941.265;1.050.176;210.013;13.38372;52.45435;Tempelhof
59;Turmstr. 21;Allgemeiner Bestand;Fernwärme;9.956.812;11.108.881;3.632.056;13.34785;52.52642;Moabit
60;Turmstr. 22;Allgemeiner Bestand;Fernwärme;293.973;327.988;207.481;13.34715;52.52641;Moabit
61;Turmstr. 86;Allgemeiner Bestand;Fernwärme;553.838;617.921;149.708;13.34967;52.52609;Moabit
62;Müllerstr. 147;externe Mieter ;Fernwärme;393.330;438.841;706.979;13.35659;52.54686;Wedding
63;Neue Jakobstr. 9;externe Mieter ;Fernwärme;848.414;946.581;242.220;13.41131;52.51118;Mitte
64;Adlergestell 782;Feuerwehr ;Heizöl;37.546;41.890;4.545;13.64848;52.37579;Schmöckwitz
65;Alt-Biesdorf 58;Feuerwehr ;Gas;216.049;241.047;25.875;13.55629;52.50925;Biesdorf
66;Alt-Blankenburg 9;Feuerwehr ;Gas;247.950;276.640;25.078;13.45198;52.59295;Blankenburg
67;Alt-Heiligensee 68;Feuerwehr ;Heizöl;72.307;80.673;14.597;13.21129;52.6067;Heiligensee
68;Alt-Karow 10,11;Feuerwehr ;Gas;215.677;240.632;52.573;13.48301;52.61099;Karow
69;Alt-Lübars 12;Feuerwehr ;Gas;45.890;51.199;7.659;13.35809;52.62078;Lübars
70;Alt-Rudow 67,69;Feuerwehr ;Gas;142.783;159.304;37.717;13.49685;52.41698;Rudow
71;Berliner Str. 16;Feuerwehr ;Gas;281.609;314.193;83.681;13.28617;52.58659;Tegel
72;Betckestr. 13;Feuerwehr ;Gas;594.867;663.697;129.212;13.20456;52.52096;Wilhelmstadt
73;Blenheimstr. 65,67;Feuerwehr ;Fernwärme;112.688;125.727;17.151;13.5621;52.5421;Marzahn
74;Borussiastr. 16,17;Feuerwehr ;Gas;393.301;438.808;72.357;13.38385;52.46697;Tempelhof
75;Charlottenburger Str. 10,12;Feuerwehr ;Gas;752.682;839.772;168.640;13.26534;52.43717;Zehlendorf
76;Danziger Str., Kniprodestr.;Feuerwehr ;n/a;0;0;20.000;;;Prenzlauer Berg
77;Dönhoffstr. 30,31;Feuerwehr ;Gas;295.533;329.728;45.934;13.52034;52.48396;Karlshorst
78;Dorfstr. 4;Feuerwehr ;Gas;134.623;150.200;18.917;13.5157;52.57475;Wartenberg
79;Edelweißstr. 35;Feuerwehr ;Fernwärme;47.022;52.463;24.901;13.37001;52.58582;Wilhelmsruh
80;Edinburger Str. 7;Feuerwehr ;Gas;405.355;452.257;59.159;13.35196;52.55372;Wedding
81;Ferdinand-Schultze-Str. 128,130,132;Feuerwehr ;Fernwärme;158.094;176.387;65.394;13.50814;52.54505;Alt-Hohenschönhausen
82;Feurigstr. 58;Feuerwehr ;Gas;653.878;729.536;91.676;13.35675;52.48461;Schöneberg
83;Frankenbergstr. 23;Feuerwehr ;Gas;105.959;118.220;10.037;13.71614;52.4367;Wilhelmshagen
84;Friederikestr. 19;Feuerwehr ;Gas;97.125;108.363;18.041;13.22891;52.57079;Konradshöhe
85;Fürstenwalder Allee 356;Feuerwehr ;n/a;0;0;402.624;13.72222;52.43063;Wilhelmshagen
86;Gasteiner Str. 19-20;Feuerwehr ;Fernwärme;372.591;415.702;75.188;13.32045;52.48751;Wilmersdorf
87;Gatower Str. 333;Feuerwehr ;Pellet;123.045;137.282;20.624;13.1807;52.4897;Gatow
88;Godbersenstr. 31;Feuerwehr ;n/a;0;0;57.850;13.64377;52.37832;Schmöckwitz
89;Goethestr. 7;Feuerwehr ;Gas;386.578;431.308;59.948;13.3155;52.42956;Lichterfelde
90;Gravensteinstr. 9, 4-18;Feuerwehr ;Gas;917.480;1.023.639;155.362;13.43607;52.60702;Französisch Buchholz
91;Groß-Berliner Damm 18;Feuerwehr ;Fernwärme;488.391;544.901;216.994;13.51013;52.45026;Johannisthal
92;Grunowstr. 18;Feuerwehr ;n/a;0;0;0;13.40927;52.56824;Pankow
93;Hackbuschstr. 65;Feuerwehr ;Gas;180.384;201.256;37.915;13.15055;52.54348;Staaken
94;Hauptstr. 14;Feuerwehr ;Gas;235.582;262.840;40.655;13.38766;52.61773;Blankenfelde
95;Hausvaterweg 16;Feuerwehr ;Gas;229.857;256.453;46.411;13.54614;52.56962;Falkenberg
96;Heinsestr. 24;Feuerwehr ;Gas;346.725;386.844;51.195;13.30877;52.61538;Hermsdorf
97;Hellersdorfer Str. 143-147;Feuerwehr ;Fernwärme;122.048;136.170;41.511;13.58962;52.52973;Kaulsdorf
98;Im Domstift 22;Feuerwehr ;Gas;179.803;200.607;47.050;13.41223;52.39247;Lichtenrade
99;Imkerweg/ Insel Werderchen;Feuerwehr ;n/a;522.556;583.019;2.799.052;;;Grünau
100;Jagowstr. 31;Feuerwehr ;Gas;776.667;866.533;92.440;13.33369;52.52267;Moabit
101;Johannisthaler Chaussee 222;Feuerwehr ;Fernwärme;439.743;490.624;103.804;13.46832;52.43419;Buckow
102;Josef-Orlopp-Str. 69;Feuerwehr ;Gas;1.362.664;1.520.333;134.460;13.49285;52.52318;Lichtenberg
103;Katzengraben 1,1a;Feuerwehr ;Gas;1.035.508;1.155.323;266.044;13.57904;52.44721;Köpenick
104;Kirchhofstr. 20;Feuerwehr ;Gas;847.717;945.803;142.519;13.43843;52.46899;Neukölln
105;Kladower Damm 367;Feuerwehr ;Gas;632.187;705.335;53.500;13.14522;52.45472;Kladow
106;Krampenburger Weg 1,3;Feuerwehr ;Gas;107.433;119.863;40.042;13.66439;52.41056;Müggelheim
107;Kronprinzessinnenweg 20;Feuerwehr ;Gas;619.696;691.399;76.458;13.18465;52.4293;Wannsee
108;Kummerower Ring 80;Feuerwehr ;Fernwärme;239.097;266.762;79.774;13.58242;52.52559;Kaulsdorf
109;Linienstr. 128-129;Feuerwehr ;Gas;161.207;179.860;28.438;13.38925;52.52658;Mitte
110;Mädewalder Weg 21,23;Feuerwehr ;Gas;134.053;149.564;13.793;13.58798;52.50686;Kaulsdorf
111;Märkische Allee 181, 189;Feuerwehr ;Fernwärme;1.115.155;1.244.186;286.595;13.53669;52.53499;Marzahn
112;Müggelseedamm 178;Feuerwehr ;Gas;237.628;265.123;40.774;13.62612;52.44657;Friedrichshagen
113;Mühlenweg 8;Feuerwehr ;Gas;97.418;108.690;27.421;13.68963;52.43902;Rahnsdorf
114;Nikolaus-Groß-Weg 2;Feuerwehr ;Gas;3.163.352;3.529.373;2.582.742;13.28239;52.53225;Charlottenburg-Nord
115;Nöldnerstr. 36;Feuerwehr ;Fernwärme;33.154;36.990;7.645;13.4839;52.50194;Lichtenberg
116;Oderberger Str. 24,25;Feuerwehr ;Gas;383.233;427.576;62.417;13.40667;52.53991;Prenzlauer Berg
117;Pablo-Picasso-Str. ggü. 49;Feuerwehr ;Fernwärme;987.046;1.101.254;173.553;13.52684;52.55745;Neu-Hohenschönhausen
118;Parkstr. 38-39;Feuerwehr ;Gas;991.103;1.105.780;215.476;13.45975;52.55644;Weißensee
119;Pasewalker Str. 120;Feuerwehr ;Fernwärme;138.790;154.849;131.949;13.42898;52.58217;Französisch Buchholz
120;Paulsternstr. 34;Feuerwehr ;Fernwärme;102.429;114.281;31.300;13.24789;52.54397;Siemensstadt
121;Pölnitzweg 3,5;Feuerwehr ;Fernwärme;146.478;163.426;21.730;13.50217;52.63749;Buch
122;Rankestr. 10-12;Feuerwehr ;Fernwärme;691.289;771.276;57.606;13.33263;52.50175;Charlottenburg
123;Rathausstr. 70,72;Feuerwehr ;Fernwärme;478.349;533.697;61.031;13.38029;52.44392;Mariendorf
124;Reinickendorfer Str. 15a-15c;Feuerwehr ;Fernwärme;465.782;519.676;82.320;13.37;52.54328;Gesundbrunnen
125;Remstaler Str. 9;Feuerwehr ;Gas;79.113;88.267;25.359;13.30121;52.63694;Frohnau
126;Roedernallee 55;Feuerwehr ;Gas;589.376;657.570;88.832;13.34085;52.58734;Reinickendorf
127;Romain-Rolland-Str. 103,105,107;Feuerwehr ;Gas;201.443;224.752;16.367;13.43729;52.57132;Heinersdorf
128;Schieritzstr. 24,26;Feuerwehr ;Fernwärme;143.039;159.590;27.230;13.4406;52.54521;Prenzlauer Berg
129;Schlierseestr. 10;Feuerwehr ;Gas;88.432;98.664;14.471;13.57936;52.42207;Grünau
130;Schmöckwitzer Damm  60;Feuerwehr ;Gas;43.005;47.981;25.240;13.64578;52.34725;Schmöckwitz
131;Selchowstr. 4;Feuerwehr ;Gas;142.386;158.861;20.915;13.55003;52.43934;Adlershof
