lfd.;Wirtschaftseinheit;Segment - Liegenschaft;Art der Wärmeversorgung;Wärmeverbrauch;Wärmeverbrauch witterungsbereinigt;Stromverbrauch
1;Dominicusstr. 12;Allgemeiner Bestand;Gas;406361;45338;0
2;Albrecht-Achilles-Str. 61 - 64;Allgemeiner Bestand;Fernwärme;638433;712304;187284
3;Alt-Friedrichsfelde 60;Allgemeiner Bestand;Fernwärme;6193990;6910676;2945322
4;Am Köllnischen Park 3 / Rungestraße 29;Allgemeiner Bestand;Fernwärme;1234900;1377786;365837
5;An der Urania 4-10;Allgemeiner Bestand;Fernwärme;880772;982683;97127
6;Auf dem Grat 2 (ehem. Clayallee 138);Allgemeiner Bestand;Gas;406361;45338;132782
7;Belziger Str. 52-58;Allgemeiner Bestand;Gas;53508;59699;228203
8;Bismarckstr. 48;Allgemeiner Bestand;Fernwärme;1375752;1534936;343686
9;Bredtschneiderstr. 5;Allgemeiner Bestand;Fernwärme;7391;824619;227817
10;Brodauer Str. 16-22;Allgemeiner Bestand;Gas;102636;114512;20
11;Brunnenstr. 188-190;Allgemeiner Bestand;Gas;1713553;1911822;402624
12;Bundesallee 171;Allgemeiner Bestand;Fernwärme;3326032;3710876;1878069
13;Buschkrugallee 95;Allgemeiner Bestand;Gas;502685;560849;118097
14;Eichborndamm 208;Allgemeiner Bestand;Fernwärme;82795;923749;341753
15;Fehrbelliner Platz;Allgemeiner Bestand;Fernwärme;10022070;11181690;1439240
16;Ferdinand-Schultze-Str. 55;Allgemeiner Bestand;Fernwärme;560784;62567;191512
17;Friedrich-Krause-Ufer 24,25;Allgemeiner Bestand;Gas;1650607;1841593;487552
18;Friedrichstr. 219;Allgemeiner Bestand;Fernwärme;1468400;1638304;578137
19;Fröbelstr. 15;Allgemeiner Bestand;n/a;2276026;2539377;0
20;Fröbelstr. 17;Allgemeiner Bestand;Fernwärme;3875519;4323942;974381
21;Hanna-Renate-Laurien-Platz 1;Allgemeiner Bestand;Gas;546875;610152;186863
22;Hartmannsweilerweg 63;Allgemeiner Bestand;Gas;302613;337627;183416
23;Havelchaussee 149-151;Allgemeiner Bestand;Gas;106734;119084;469
24;Invalidenstr. 60;Allgemeiner Bestand;Fernwärme;3499834;3904788;1288944
25;Josef-Orlopp-Str. 62;Allgemeiner Bestand;Gas;590858;659224;122694
26;Jüdenstr. 1;Allgemeiner Bestand;Fernwärme;1950560;2176253;966629
27;Juliusstr. 67;Allgemeiner Bestand;Gas;305838;341225;169447
28;Karl-Hofer-Str. 31;Allgemeiner Bestand;n/a;1995928;2226870;2908133
29;Klosterstr. 47;Allgemeiner Bestand;Fernwärme;2628360;2932479;1084931
30;Klosterstr. 59;Allgemeiner Bestand;Fernwärme;1363640;1521422;1478425
31;Klosterstr. 71;Allgemeiner Bestand;Fernwärme;621031;692888;162348
32;Kniprodestr. 31;Allgemeiner Bestand;Fernwärme;0;0;365697
33;Levetzowstr. 1-2;Allgemeiner Bestand;Gas;406806;453876;102019
34;Magdalenenstr. 25;Allgemeiner Bestand;Fernwärme;1607040;1792985;302813
35;Martin-Buber-Str. 20,21;Allgemeiner Bestand;Gas;958046;1068898;237198
36;Martin-Luther-Str. 105;Allgemeiner Bestand;Fernwärme;1416234;1580102;625474
37;Max-Brunnow-Str. 4;Allgemeiner Bestand;Fernwärme;383883;428301;68313
38;Mehringdamm 110;Allgemeiner Bestand;Gas;777122;86704;187079
39;Mehringdamm 22;Allgemeiner Bestand;Gas;617691;689162;23467
40;Mohriner Allee 137;Allgemeiner Bestand;Gas;1252952;1397927;352164
41;Munsterdamm 90 / Planetarium und Sternwarte;Allgemeiner Bestand;Gas;139231;15534;112694
42;Nonnendammallee 21;Allgemeiner Bestand;Fernwärme;1042600;1163236;352821
43;Oranienstr. 106;Allgemeiner Bestand;Fernwärme;1546730;1725697;653106
44;Osloer Str. 37;Allgemeiner Bestand;Gas;94423;1053484;202112
45;Otto-Braun-Str. 70-72 (Haus d. Statistik);Allgemeiner Bestand;n/a;69137;77137;17151
46;Parochialstr. 1-3;Allgemeiner Bestand;Fernwärme;746847;833262;124021
47;Potsdamer Str. 140;Allgemeiner Bestand;Fernwärme;513315;572709;198235
48;Potsdamer Str. 186;Allgemeiner Bestand;Heizöl;877076;97856;104246
49;Potsdamer Str. 61-65;Allgemeiner Bestand;Fernwärme;1191852;1329757;85919
50;Rubensstr. 111;Allgemeiner Bestand;Fernwärme;434942;485268;258388
51;Salzburger Str. 21-25;Allgemeiner Bestand;Fernwärme;1427600;1592783;39774
52;Sarrazinstr. 4;Allgemeiner Bestand;Gas;549426;612998;121214
53;Schloßstr. 58,59;Allgemeiner Bestand;Gas;566513;632062;110809
54;Seelenbinderstr. 99;Allgemeiner Bestand;Gas;1148387;1281263;215267
55;Storkower Str. 134;Allgemeiner Bestand;Fernwärme;1271475;1418593;540824
56;Storkower Str. 97;Allgemeiner Bestand;Fernwärme;438919;489705;163048
57;Straßburger Str. 56;Allgemeiner Bestand;Heizöl;703318;784697;218999
58;Tempelhofer Damm 234;Allgemeiner Bestand;Gas;941265;1050176;210013
59;Turmstr. 21;Allgemeiner Bestand;Fernwärme;9956812;11108881;3632056
60;Turmstr. 22;Allgemeiner Bestand;Fernwärme;293973;327988;207481
61;Turmstr. 86;Allgemeiner Bestand;Fernwärme;553838;617921;149708
62;Müllerstr. 147;externe Mieter ;Fernwärme;39333;438841;706979
63;Neue Jakobstr. 9;externe Mieter ;Fernwärme;848414;946581;24222
64;Adlergestell 782;Feuerwehr ;Heizöl;37546;4189;4545
65;Alt-Biesdorf 58;Feuerwehr ;Gas;216049;241047;25875
66;Alt-Blankenburg 9;Feuerwehr ;Gas;24795;27664;25078
67;Alt-Heiligensee 68;Feuerwehr ;Heizöl;72307;80673;14597
68;Alt-Karow 10,11;Feuerwehr ;Gas;215677;240632;52573
69;Alt-Lübars 12;Feuerwehr ;Gas;4589;51199;7659
